pepmix,mean_teleport,mean_mbha,selected_count,acquired_events,cd45_events,cd45_percent_parent,cd34_events,cd34_cd45dim_events,cd34_cd45dim_percent_parent,dim_per_cd34_percent,cd34_hpc_percent_total,phenotype_interpretation
PepMix1,0.015625000000000003,0.7161000992945843,9,41606,24249,85.16,83,75,0.26,90.36,0.26,intermediate retention
PepMix2,0.015625000000000007,0.6604662009276813,5,56594,27110,65.86,156,129,0.31,82.87,0.45,highest rare-compartment retention
PepMix3,0.015625000000000007,0.7174777713863847,7,31671,12629,85.13,286,35,0.24,12.44,0.27,CD34-enriched outlier
PepMix4,0.015624999999999984,0.5656292062186138,5,28803,19988,79.85,91,56,0.22,61.9,0.24,high-suppression side
PepMix5,0.015625000000000003,0.7359465032823767,6,42067,25260,72.48,147,83,0.24,56.58,0.29,moderate-to-high retention
PepMix6,0.015624999999999986,0.6528163203991213,7,37973,21549,78.93,107,38,0.14,35.38,0.15,lowest retention
